area,rooms,bathrooms,parking_spaces,title,neighbourhood_city,street,sell_value
67 m²,3,2,1,"Excelente apartamento em ótima localização Com 67 m² de área útil Sala ampla sendo dois ambientes, sacada, cozinha planejada e área de serviço. 3 dormitório sendo uma suíte e banheiro social. 1 vaga de garagem descoberta. Condomínio oferece: Portaria 24 horas, piscina, churrasqueira, playground, quadra de esportes. IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e/ou alteração pelos proprietários ou pessoas responsáveis. -","Parque dos Lagos, Ribeirão Preto",Rua Sargento Bueno,R$ 300.000
31 m²,,1,1,"Sala comercial no Campos Elíseos com recepção no prédio. Unidade conta com 31.17 m², sala com 03 ambientes, copa, banheiro, uma recepção e 01 vaga de garagem, O prédio possui subsolo e 02 andares, 02 elevadores sociais, amplos corredores e toalete feminino e masculino em cada andar, recepção e portaria 24hrs. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e/ou alteração pelos proprietários ou pessoas responsáveis. -","Campos Elíseos, Ribeirão Preto",Avenida da Saudade,R$ 126.000
300 m²,,,,"Excelente terreno de ilha, plano, medindo 300M², pronto para construir, ideal para investidores; Condomínio com área de lazer completa. Mais informações ou agendar visita (1 6) 9 8 8 6 1 6 1 1. ref. 152483 atualizado em 05/12.","Portal da Mata, Ribeirão Preto",,R$ 293.000
150 m²,3,5,4,"Casa térrea com ambientes integrados, área gourmet, cozinha, salas tv, jantar, lavabo exclusivo na área externa, piscina com hidromassagem, cascata, área interna 03 suites, cozinha, lavanderia e área gourmet.","Jardim Cybelli, Ribeirão Preto",Rua Eugenio Del Lama Netto,R$ 1.098.000
69 m²,2,1,1,"Apartamento com 69.90 m² próximo a Av. Treze de Maio; 02 dormitórios com armários embutido; wc social; sala 02 ambientes; cozinha com gabinete, armários, fogão cooktop com forno elétrico; área de serviço; 01 vaga de garagem coberta. Condomínio com 1 torre; 3 andares; 6 apartamentos por andar; portaria 12hrs; portão eletrônico. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. -","Jardim Paulista, Ribeirão Preto",,R$ 235.000
111 m²,3,3,1,"O apartamento está localizado no bairro Centro possui 111 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros Possui área verde de jardim, lareira. Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração. Fica em um condomínio fechado.","Centro, Ribeirão Preto",Rua Campos Salles,R$ 450.000
60 m²,2,1,1,"02 dormitórios c/armários, sala ampla, cozinha, lavandeira, garagem 01 carro descoberta- térreo - frente Água, Área de Serviço, Armários, Banheiro","Jardim Paulista, Ribeirão Preto",Avenida Treze de Maio,R$ 190.000
80 m²,2,1,1,"Casa a venda em Rua Mem de Sá - Campos Elíseos - Ribeirão Preto/SP Casa a venda no Campos Elíseos São 2 quartos Sala Cozinha Banheiro Garagem para um carro Área de Serviço Piso Frio Laje Excelente localização, próximo a vários Bancos, Supermercado, Escolas, Padaria, Restaurante e muito mais. Tipo do imóvel: Casa Metragem útil: 80m² Total dormitórios: 2 Total suítes: 0 Localização: Campos Elíseos | Ribeirão Preto Valor: R$195.000 Venha conhecer o bairro Campos Elíseos, em Ribeirão Preto! Aqui você encontra tudo o que precisa para viver com tranquilidade e segurança. Localizado na região central da cidade, o bairro Campos Elíseos é um dos mais antigos de Ribeirão Preto, tendo sido fundado em meados do século XIX. Seu nome foi dado em homenagem ao poeta grego Homero, autor da famosa obra ""Ilíada"". O bairro conta com diversos serviços e comércio, como supermercados, farmácias, restaurantes, bancos, academias, escolas, entre outros. Além disso, o bairro oferece uma ótima infraestrutura, com ruas bem pavimentadas, iluminação pública, parques e praças. Venha conhecer o bairro Campos Elíseos e desfrutar de todas as comodidades que ele oferece. Aqui você encontrará tudo o que precisa para viver com tranquilidade e segurança. Clique no botão ao lado e iremos entrar em contato para te ajudar na busca pelo imóvel ideal! A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos Anúncio do corretor de imóveis Isabel Cristina Campos Ávila CRECI: 189647-F","Campos Elíseos, Ribeirão Preto",Rua Mem de Sá,R$ 194.170
132 m²,2,2,2,"Casa térrea em ótima localização, 2 dormitórios com armários sendo 1 com ar condicionado, sala, banheiro social com gabinete e box blindex, cozinha planejada, área de serviços, banheiro externo, espaço gourmet com churrasqueira e piscina, corredor lateral, quintal e 2 vagas de garagem. Agende sua visita sem compromisso 1 6 9 9 7 3 3 - 0 3 5 0 ou 1 6 9 9 7 5 8 - 3 9 4. ref. 148469 atualizado em 05/12.","Jardim Ouro Branco, Ribeirão Preto",,R$ 350.000
57 m²,2,2,1,"- Localizado no Parque Industrial Lagoinha; - 56,87m²; - Sala dois ambientes com varanda; - Cozinha; - 2 Dormitórios sendo um suíte; - 2 Banheiros; - Área de serviço; - Vagas para 01. ref. 6161 atualizado em 05/12.","Parque Residencial Lagoinha, Ribeirão Preto",Rua Augusto Bortoloti,R$ 295.847
76 m²,2,2,2,"Excelente apartamento, próximo Av. Maurílio Biagi, Parque Luiz Calos Raya com 76,49 m², 02 suítes, ( 01 delas com sacada ) armários, banheiros com box blindex, espelho e gabinete, sala 02 ambientes, sacada com vista privilegiada, lavabo, cozinha planejada, área de serviço, 02 vagas de garagem cobertas. Condomínio com portaria 24 horas com câmeras de segurança e salão de festas. OBS: Apartamento alugado, somente para investidores. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra, sem qualquer custo. -","Santa Cruz do José Jacques, Ribeirão Preto",,R$ 389.000
500 m²,,,,"Excelente terreno com 500,25 m² de área total. Ótima localização com fácil acesso por avenidas, próximo à amplo comércio em geral e próximo à pontos interessantes do bairro como à Avenida Mogiana e à Avenida Costa e Silva. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. Ao enviar mensagem para este imóvel não esqueça de deixar o seu telefone, isso agiliza no seu atendimento. -","Vila Mariana, Ribeirão Preto",,R$ 300.000
132 m²,2,2,2,"Casa térrea em ótima localização, 2 dormitórios com armários sendo 1 com ar condicionado, sala, banheiro social com gabinete e box blindex, cozinha planejada, área de serviços, banheiro externo, espaço gourmet com churrasqueira e piscina, corredor lateral, quintal e 2 vagas de garagem. Agende sua visita sem compromisso 1 6 9 9 7 3 3 - 0 3 5 0 ou 1 6 9 9 7 5 8 - 3 9 4. ref. 148469 atualizado em 05/12.","Jardim Ouro Branco, Ribeirão Preto",,R$ 350.000
57 m²,2,2,1,"- Localizado no Parque Industrial Lagoinha; - 56,87m²; - Sala dois ambientes com varanda; - Cozinha; - 2 Dormitórios sendo um suíte; - 2 Banheiros; - Área de serviço; - Vagas para 01. ref. 6161 atualizado em 05/12.","Parque Residencial Lagoinha, Ribeirão Preto",Rua Augusto Bortoloti,R$ 295.847
500 m²,,,,"Excelente terreno com 500,25 m² de área total. Ótima localização com fácil acesso por avenidas, próximo à amplo comércio em geral e próximo à pontos interessantes do bairro como à Avenida Mogiana e à Avenida Costa e Silva. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. Ao enviar mensagem para este imóvel não esqueça de deixar o seu telefone, isso agiliza no seu atendimento. -","Vila Mariana, Ribeirão Preto",,R$ 300.000
71 m²,2,2,1,"Apartamento em ótima localização, 2 dormitórios sendo 1 suíte, sala ampla com sacada, banheiro social, cozinha, área de serviços e 1 vaga de. ref. 190400 atualizado em 05/12.","Jardim Castelo Branco, Ribeirão Preto",,R$ 269.000
81 m²,3,2,2,"Lindo Apartamento em Frente ao Shopping Iguatemi, com 3 Dormitórios, sendo um Suíte, Completo em Armários, Iluminação, Box Blindex, Ventilador de Teto, Varanda Gourmet, Área de Serviços, 2 Vagas de Garagem e Portaria 24 hs. Condomínio com lazer completo: - Área de Churrasco - Piscina - Playgroud - Academia - Portaria 24. ref. 7658 atualizado em 05/12.","Vila do Golf, Ribeirão Preto",,R$ 480.000
72 m²,3,2,1,"Apartamento no bairro República - Ribeirão Preto - Venda - 72 m². Características do apartemento no bairro Alto da Boa Vista - Ribeirão Preto - Venda - 72m². - 3 Dormitórios sendo 1 suíte - 2 Banheiros - 1 Sala ampla com 2 ambientes - 1 Cozinha com armários embutidos - 1 vaga de Garagem. Edifício alto padrão e área de lazer completa com piscina, jardim, playground, salão de festas, churrasqueiras e portaria 24 horas. Para mais informações sobre o imóvel entre em contato com a Dinardi: Whatsapp: Faça já sua visita: Dinardi Imóveis - Imobiliária em Ribeirão Preto Rua Nélio Guimarães, 1526 Jardim São Luís - Ribeirão Preto, SP. Venha, entre e sinta-se em casa! www.imobiliariadinardi.com.br -","República, Ribeirão Preto",,R$ 300.000
42 m²,2,1,1,"Bairro: Jardim Maria Goretti - Ribeirão Preto/SP Valor de Venda: R$ 145.000,00 Cond: R$ 247,00 IPTU:R$ 258,00 Área de Edificação Principal:42.96m² Apartamento Térreo Dormitorios-02 c/ventilador e ar condicionado no quarto do casal Banheiro Social-c/box de vidro Sala c/ventilador Cozinha c/armários c/cooktop Lavanderia Garagem-01 Portaria 24 Horas Piscina Adulto e Infantil Salão de festa Churrasqueira Playground Quadra de futebol Fale conosco: -","Jardim Maria Goretti, Ribeirão Preto",Rua Paulo de Frontim,R$ 145.000
42 m²,2,1,1,"Apartamento com 02 dormitórios, sala de tv, cozinha, banheiro social, área de serviços, 01 vaga de garagem coberta. Condomínio possui Portaria 24 horas, Piscina adulto e infantil, Todo o perímetro do condomínio com concertina e cerca elétrica, Quadra de esportes Área de churrasco, Vagas cobertas de garagem, Bicicletário, Interfone digital via smartphone e via aparelho com comunicação por fibra óptica, Tem todo o controle de quem entra e quem sai do condomínio através de suas autorizações por smartphone, Internet 300M por fibra Óptica disponível para os moradores a preço de custo, por apenas R$ 9,90, Wi-Fi gratuito de 300M em vários pontos das áreas comuns, Catraca com reconhecimento facial e sensor de aproximação para controle de acesso à piscina exclusivo para moradores, Controle de acesso via reconhecimento facial tanto de pedestres quanto de motoristas, Controle de fluxo de veículos através de eclusa com Portões deslizantes e cancelas rápidas, Liberação de entrada de visitantes e prestadores de serviço por Ticket QR-CODE, Criação e envio de convites QR-Code digital para convidados. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Ipiranga, Ribeirão Preto",Rua Itajubá,R$ 130.000
83 m²,1,1,1,"Excelente Localização, Próximo a Barão do Bananal, Térreo, Sala Ampla 2 Ambientes, 2 Domitórios, 1 Suíte, 1 Banheiro Social, 1 Vaga de Garagem, Quintal, Sem Portaria. ( Apartamento entregue sem armários. ref. 8923 atualizado em 05/12.","Jardim Itaporã, Ribeirão Preto",,R$ 190.000
64 m²,2,2,2,"2 dormitórios c/ AE, sendo 1 suíte, wc social completo, sala 2 ambientes c/ sacada, cozinha planejada, AS, 2 vagas de. ref. 27011 atualizado em 05/12.","Vila Ana Maria, Ribeirão Preto",,R$ 370.000
57 m²,2,2,1,"Apartamento para venda, 2 dormitórios sendo 1 suíte, 1 vaga de garagem em condominio - 2 dormitórios sendo 1 suíte - Banheiro social - Sala de Jantar - Cozinha americana - Área de serviço - 1 vaga de garagem descoberta Condominio; - Piscina - Vestiário - Churrasqueiro - Elevador interno - Jardim Próximo ao Supermercado Savegnago, Posto de combustivel, Vestcasa;. ref. 11413 atualizado em 05/12.","Chácaras Pedro Corrêa de Carvalho, Ribeirão Preto",Avenida Eduardo Andrea Matarazzo,R$ 250.000
95 m²,3,2,2,"Apartamento no Residencial Portal La Rochelle a venda em Rua João Bim - Jardim Paulistano - Ribeirão Preto/SP Oportunidade!!!!!!!!!!! Apartamento para venda Condomínio La Rochele Ao lado Av Meira Junior 03 Dormitório (sendo 1 suíte) Armários na cozinha Sacada Sala muito espaçosa Ventilador de teto Banheiro com gabinete e Box Portaria 24 horas 02 vagas de garagem R$ 280.000,00 ** Documentação Ok** R$ 280.000 Estou próximo do imóvel e podemos fazer rapidamente a visita. Eu me especializei nessa região e vou te ajudar a fazer um bom negócio e ter uma boa experiência na compra. Apartamento com 95m² localizado em Ribeirão Preto, Jardim Paulistano com as características: Ar-condicionado, Área Verde - Parque, Armários na cozinha, Armários no quarto, Armários nos banheiros, Bicicletario, Box de vidro, Chuveiro elétrico, Espelho no banheiro, Janela anti-ruído, Janelas grandes, Playground, Portaria 24h, Sol da manhã, Tanque, Tomada 3 pinos, Vaga de visitante, Ventilador de teto, Vista livre Para falar comigo, pode clicar no botão ao lado ou pelo fone/WhatsApp Venha conhecer o bairro Jardim Paulistano, em Ribeirão Preto! O Jardim Paulistano é um bairro que oferece aos seus moradores e visitantes muitas opções de lazer e entretenimento. Com suas ruas arborizadas e tranquilas, o bairro é ideal para quem busca tranquilidade e segurança. Além disso, o Jardim Paulistano conta com diversos estabelecimentos comerciais, como supermercados, restaurantes, farmácias, lojas de conveniência, entre outros. O bairro também é conhecido por sua história. O Jardim Paulistano foi fundado em meados do século XX, quando o então prefeito de Ribeirão Preto, José de Souza Campos, decidiu criar um bairro para abrigar famílias de baixa renda. Hoje, o Jardim Paulistano é um bairro moderno, com muitas opções de lazer e entretenimento. Venha conhecer e se encantar com o que o Jardim Paulistano tem a oferecer! Cansado de encontrar imóveis que não fazem seu estilo? Clique no botão ao lado e te ajudaremos nessa jornada pela busca do imóvel perfeito para você! A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos Anúncio do corretor de imóveis Sandra Cristina Gouveia CRECI: 240125","Jardim Paulistano, Ribeirão Preto",Rua João Bim,R$ 279.450
111 m²,3,3,1,"Apartamento Térreo para Vender com 03 quartos no Jardim Irajá em Ribeirão preto com Dois Quintais. Prédio em ótima locação com churrasqueira na Cobertura. Apartamento com 3 dormitórios e 1 suíte ricos em armários, ampla cozinha com armários, ar condicionado na suíte principal, área de serviço com banheiro de serviço. Este condomínio fica próximo a Avenida Wladimir Meirelles, postos de gasolina, restaurantes, Aveida Joao Fiusa. IMPORTANTE: metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Condomínio Itamaraty, Ribeirão Preto",Rua Abrão Caixe,R$ 500.000
100 m²,3,2,1,"Apartamento 85 m², 3 quartos com armários embutidos sendo 1 suíte, banheiro que serve os outros dois quartos, Sala, sala de TV, cozinha com armários, área de serviço, e garagem para 1 carro. Condomínio: R$ 290,00. -","Jardim Irajá, Ribeirão Preto",Rua Paschoal Bardaro,R$ 280.000
89 m²,3,2,1,"Apartamento para locação ou venda 3 dormitórios no Jd Paulista -3 dormitórios, sendo 1 suíte -1 banho social -Sala para 2 ambientes com sacada -Cozinha -Área de serviço -Despensa -Condomínio com salão de festa Próximo a Olianchi, Henrique Dumont, Cupim do Paulim, entre outros comércios para facilitar o seu dia a. ref. 10979 atualizado em 05/12.","Jardim Paulista, Ribeirão Preto",Rua Capivari,R$ 300.000
155 m²,3,3,3,"(ANALISA PERMUTA EM LOTE DE CONDOMINIO) Descubra o seu novo lar no Edifício Promenade, localizado no exclusivo Bosque das Juritis (Alta Fiusa). Este apartamento de tirar o fôlego possui todas as características que você sempre sonhou. Com generosos 155 metros quadrados, este apartamento oferece um amplo espaço para você e sua família. Acomodações de 3 suítes, uma varanda gourmet com churrasqueira para momentos de confraternização, uma sala de estar com três ambientes, um escritório privativo para maior comodidade, um lavabo elegante, uma cozinha moderna e uma área de serviço com banheiro. Além disso, você terá à sua disposição 3 vagas de garagem, para maior comodidade, e um box adicional para armazenamento. A localização é simplesmente imbatível. A apenas 200 metros da avenida João Fiusa, você estará próximo a tudo que sua família precisa. Academias, supermercados, parques e as principais vias de acesso da cidade e rodovias estão a poucos minutos de distância. Mas as vantagens não param por aí. O condomínio conta com uma área de lazer completa, onde você poderá relaxar e se divertir. Desfrute de uma piscina aquecida semi olímpica com duas raias, perfeita para os amantes da natação, além de uma piscina de recreação para toda a família. O salão de festas e a área gourmet estão prontos para receber seus convidados em grande estilo, enquanto a academia, a brinquedoteca, o playground, o salão de jogos e a quadra poliesportiva garantem opções de entretenimento para todas as idades. Não perca a oportunidade de viver em um apartamento que oferece conforto, elegância e autoridade. Agende sua visita agora mesmo e descubra o seu novo lar no Edifício Promenade no Bosque das Juritis Douglas Duarte Négocios imobiliários. CRECI 216324-F CEL","Bosque das Juritis, Ribeirão Preto",Rua Elzira Sammarco Palma,R$ 1.280.000
110 m²,3,2,1,"Excelente apartamento em ótima localização, 3 dormitórios sendo 1 suíte, sala ampla 2 ambientes, sacada, 1 banheiro social, cozinha ampla com gabinetes, área de serviços ampla, dependência de empregada e 1 vaga de garagem. Mais informações ou agendar visita (1 6) 9 8 8 6 1 6 1 1. ref. 195074 atualizado em 05/12.","Jardim Palma Travassos, Ribeirão Preto",,R$ 330.000
222 m²,3,4,2,"3 dormitórios com armários, sendo 1 suíte, ar condicionado nos 3 dormitórios e na sala, banheiro social, lavabo, lavanderia, sacada, cozinha rica em armários, banheiro de serviço, garagem para 2 carros elevador de serviço e social. agende sua visita 1 6 9 9 7 6 4 4 6 8 9 ou 1 6 9 9 6 2 8 8 3 3. ref. 195122 atualizado em 05/12.","Centro, Ribeirão Preto",,R$ 700.000
56 m²,2,2,1,"Apto 3 dorm Isla Lagoinha | Condomínio ISLA Apto com 56 m2 úteis, com 2 dorm sendo 1 suíte, wc social, varanda integrada e acabamento com ótimo padrão. Empreendimento super moderno, completo em estrutura de lazer, localização privilegiada na Lagoinha, perto de tudo que você precisa... Piscinas, solarium, quadra, espaço gourmet, salão de festas, play kids, spa, fitness, pub, car wash, espaço mulher, pet care e muito mais ! Tudo entregue equipado e decorado.","Parque Residencial Lagoinha, Ribeirão Preto",Rua Augusto Bortoloti,R$ 465.000
93 m²,3,3,1,"Apartamento à Venda, no Edifício Barão do Café Área privativa: 93 m² Totalmente reformado - Sala 2 ambientes com cortina e painel de tv. Sacada com vista. Ampla área de serviço e cozinha americana integrada planejada, banheiro social, 3 dormitórios, sendo 1 suíte com sacada e 1 vaga de garagem no subsolo. Diferenciais: piso porcelanato, i luminação completa, rebaixo de gesso, ar condicionado e ventilador. Portaria e segurança 24 horas. Além de lazer completo no condomínio com: piscina, sauna, salão de festas, área de churrasco e academia. Agende sua visita com um de nossos consultores!","Centro, Ribeirão Preto",,R$ 430.000
73 m²,2,2,1,"Apartamento em ótima localização, 2 dormitórios com armários, banheiro social com box e gabinete, hall com armários, sala com sacada, cozinha com armários, área de serviços, banheiro de empregada e 1 vaga de garagem. Mais informações ou agendar visita - (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 119498 atualizado em 05/12.","Presidente Médici, Ribeirão Preto",,R$ 191.000
53 m²,2,1,1,"Contato pelo telefone WhatsApp 1 6 - 9 8 2 1 7 - 4 7 0 0. Apartamento a Venda no Alto da Boa Vista, Liber Resort, com 53m² privativos. - 2 dormitórios - Sala dois ambientes - Sacada - Cozinha planejada - Banheiro social - Área de serviço - Com armários - Ar-condiconado e ventilador de teto - 1 vaga de garagem Condomínio com lazer completo, piscinas adulto e inflatil, brinquedoteca, playground, academia, 2 salões de festas, espaços para churrasco, quadra de vôlei e poliesportiva, pista de caminhada, Mini Market, segurança completa, elevadores e portaria 24h. Excelente localização, zona sul, próximo de comércios, supermercados, escolas, faculdades, postos, shoppings.","Alto da Boa Vista, Ribeirão Preto",,R$ 237.000
420 m²,4,6,10,"Garagem 10 carros, quintal grande, sala tv, escritório, sala jantar, 02 cozinha ampla, 04 dormitórios, suite, completa em armários, hidromassagem, despensa, piscina grande, área de churrasco. Completa em armários planejados e possibilidade para 08 dormitórios. Excelente para casa de repouso.","Jardim Paulistano, Ribeirão Preto",Rua Ceará,R$ 890.000
180 m²,3,2,2,"Bairro: Vila Tamandaré Ribeirão Preto/SP Valor de Venda: R$ 420.000,00 IPTU: R$ 131,42 Mensal Área de Edificação Principal:180.83m² Dormitórios - 03 sendo 01 suite c/armário Sala - 03 Banheiro Social - 01 c/box de acrílico Cozinha e copa c/armários lavanderia Piso Normal Salão de festa c/pia Área de churrasco c/banheiro Garagem - para 02 carros, podendo fazer mais uma Quintal Amplo Fale conosco: -","Vila Tamandaré, Ribeirão Preto",Rua Dom Alberto Gonçalves,R$ 420.000
53 m²,2,1,2,"Casa Térrea À Venda No Jardim Vilico Cantarelli Com Portão Eletrônico. Unidade conta com 205,51 m² de terreno e 52,89 m² de área construída, 02 dormitórios, banheiro social, cozinha americana, sala para 02 ambientes, área de serviço, varanda, esquadrias em alumínio, pisos porcelanato, banheiro com revestimento até o teto, portão eletrônico e 02 vagas de garagem. Próximo à Bares, Restaurantes, Escola, Farmácia e Supermercado. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e/ou alteração pelos proprietários ou pessoas responsáveis. -","Jardim Vilico Cantarelli, Ribeirão Preto",Rua Paulo Cesar Rodrigues,R$ 259.000
74 m²,2,3,2,"Apartamento em ótima localização próximo a Rua Saldanha da Gama, 3 dormitórios com armários sendo 1 suíte, sala com sacada, cozinha planejada, área de serviços, banheiro social com box e gabinete e lavabo de serviços e 1 vaga de garagam. Mais informações ou agendar visita - (1 6) 9 8 8 6 1 - 6 1 1 0 / (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 126713 atualizado em 05/12.","Centro, Ribeirão Preto",,R$ 450.000
107 m²,3,2,2,"Apartamento em ótima localização no Jd. Paulista, com 107 m² área útil, 3 dormitórios sendo 1 suíte todos com armários planejados, lavabo, living 2 ambientes, varanda gourmet com churrasqueira com tampa, a gás e com envidraçamento, cozinha planejada e com cooktop Brastemp 5 bocas, 2 vagas cobertas, condomínio com portaria 24 horas e área de lazer equipada e decorada com piscina aquecida, churrasqueira, salão de festas e academia. -","Jardim Paulista, Ribeirão Preto",Rua Cravinhos,R$ 675.000
109 m²,3,3,2,"Sobrado com 03 dormitórios à venda no Condomínio Turmalina. - 03 dormitórios sendo 01 suíte. - Sala 02 ambientes. - Lavabo. - Cozinha planejada. - Área de serviço coberta com armário. - Quintal com deck molhado. - Jardim. - Varanda gourmet com churrasqueira. - 02 vagas . - Condomínio com: - Churrasqueira, - Espaço gourmet, - Piscina adulto e infantil, - Quadra poliesportiva, - Salão de festas. - Academia ao ar-livre. - Próximo ao Shopping. ref. 11501 atualizado em 05/12.","Bonfim Paulista, Ribeirão Preto",,R$ 650.000
90 m²,2,3,2,"M I R A G E lindo apartamento pronto para morar em condomínio com estilo resort, 2 SUITES, moveis planejados, pisos em porcelanato, lavabo, cozinha americana, varanda gourmet com churrasqueira, iluminação com sancas. condominio oferece: Sáuna , espaço de pilates, academia bem equipada, piscina de raia com bangaló e infantil aquecida, ofuro aquecido, quadra poliesportiva, pub torcedor com mesa de jogos, espaço pet, pet care, bicicletário, espaço play com cinema e video game, espaço beaty equipado, mini mercado, espaço kids, playground, aréa de churrasco, sala de festa equipado, espaço gourmet, espaço zen, redário. Mais informações ou agendar visita - (1 6) 9 9 7 7 8 - 9 3 6 7 / ( 1 6 ) 9 9 6 3 5 - 8 0 9. ref. 189251 atualizado em 05/12.","Quinta da Primavera, Ribeirão Preto",,R$ 650.000
86 m²,3,2,1,"Apartamento, Parque Bandeirantes, 3 Dormitórios, sendo 1 Suíte, Sala Ampla, Completo em Armários, Banheiro Social, Cozinha Planejada, Ponto de Ar Split Instalado nos Cômodos, Iluminação, Box Blindex, Sacada Gourmet com Churrasqueira, Área de Serviços e 1 Vaga de. ref. 6404 atualizado em 05/12.","Parque dos Bandeirantes, Ribeirão Preto",,R$ 290.000
75 m²,2,2,1,"Apartamento em ótima localização, 2 dormitórios sendo 1 suíte, banho social, sala 2 ambientes, cozinha, área serviço, sacada e 1 vaga de garagem. Mais informações ou agendar visita - (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9 0 *ENTREGA PARA DEZEMBRO. ref. 165461 atualizado em 05/12.","Santa Cruz do José Jacques, Ribeirão Preto",,R$ 380.000
101 m²,3,3,2,"O apartamento no bairro Nova Aliança com 101 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros Possui academia, espaço gourmet, área verde de jardim, área de recreação infantil, salão de festas. Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração. Elevador para mais praticidade no dia-a-dia. Fica em um condomínio fechado.","Nova Aliança, Ribeirão Preto",Rua Manoel Clemente Gomes,R$ 690.000
67 m²,3,1,1,"Apartamento com 67 m² área útil, ótima localização, próximo Av. Leão XIII, piso frio, pintura conservada, 03 dormitórios, sendo 01 suíte, wc social, sala ampla, sacada com tela de proteção, cozinha com armários, área de serviço e 01 vaga de garagem coberta. Valor do condomínio variável, sujeito a alterações sem aviso prévio. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. Ao enviar mensagem para este imóvel não esqueça de deixar o seu telefone, isso agiliza no seu atendimento. -","Jardim Palma Travassos, Ribeirão Preto",,R$ 215.000
46 m²,2,1,1,. 2 dormitórios . Banheiro social . Sala de estar e jantar . Cozinha . Lavanderia . 1 vaga de garagem -,"Vila Virgínia, Ribeirão Preto",Rua Nicola Spinelli,R$ 185.000
75 m²,2,2,1,"Excelente Localização, Próximo a Mercados, Comércios, Avenidas, 2 Dormitórios, 1 Suíte, 1 Banheiro Social, 1 Vaga de Garagem, 1 Elevador, Sala 2 Ambientes, Sacada, Salão de Festas, Solarium, Terraço, Sem. ref. 9899 atualizado em 05/12.","Santa Cruz do José Jacques, Ribeirão Preto",,R$ 360.000
193 m²,3,4,4,"Excelente Casa no condomínio Terras de Siena, Terreno 364 m2, Área Construída 192,57m2, 3 Suítes, Sala com pé direito alto, lavabo, escritório grande que pode ser revertido em mais um quarto ou home cinema, cozinha completa em armários, torre quente, despensa, lavanderia, vestiário, área gourmet, piscina com cascata em inox, iluminação Led colorida e acionada por controle remoto vinil e parte hidráulica preparada para aquecimento. 4 vagas na garagem sendo 2 cobertas. Boiler com água quente nos banheiros das suítes e na cozinha. Esquadrias de alumínio. Lindo imóvel. Estuda permuta em terreno em condomínio. -","Loteamento Terras de Siena, Ribeirão Preto",Rua Nilva Souza dos Santos Martins,R$ 1.495.000
86 m²,3,2,1,"Apartamento térreo em excelente localização, próximo à Avenida Treze de Maio, 3 dormitórios sendo 1 com armário e 1 suíte com box blindex, sala ampla 2 ambientes com sacada, banheiro social com box blindex, cozinha com armários, área de serviços, quintal e 1 vaga de garagem. ref. 188111 atualizado em 05/12.","Parque dos Bandeirantes, Ribeirão Preto",,R$ 270.000
